po_idx,po_code,po_desc,found_code,found_desc,found_source,db_type,score,match_type
19.45,CPU-EBSERH-0103,"TOV-P - TOTEM VERTICAL- PEQUENO, COM BASE SAPATA DE CONCRETO E ESTRUTURA TUBULAR METÁLICA, COM FECHAMENTO EM CHAPA DE ACM 3MM COR CINZA E LATERAIS BRANCO, COM SÍMBOLO E TEXTOS EM CHAPA DE ACRÍLICO 10MM COM RECORTE A LASER E PINTURA AUTOMOTIVA NAS CORES DO HOSPITAL, CONFORME MEMORIAL. DIMENSÃO TOTAL: 70 X 400 CM",CPU-EBSERH-0103,"TOV-P - TOTEM VERTICAL- PEQUENO, COM BASE SAPATA DE CONCRETO E ESTRUTURA TUBULAR METÁLICA, COM FECHAMENTO EM CHAPA DE ACM 3MM COR CINZA E LATERAIS BRANCO, COM SÍMBOLO E TEXTOS EM CHAPA DE ACRÍLICO 10MM COM RECORTE A LASER E PINTURA AUTOMOTIVA NAS CORES DO HOSPITAL, CONFORME MEMORIAL. DIMENSÃO TOTAL: 70 X 400 CM",PRÓPRIA,INSUMO,100,EXACT_CODE
19.5,CPU-HSP-0080,"AVR - ASSINATURA VISUAL DE RECEPÇÕES E AMBIENTES ESPECIAIS, EM CHAPA DE ACRÍLICO RECORTADO A LASER COM PINTURA EM TINTA AUTOMOTIVA, CONFORME MEMORIAL.",CPU-HSP-0080,"AVR - ASSINATURA VISUAL DE RECEPÇÕES E AMBIENTES ESPECIAIS, EM CHAPA DE ACRÍLICO RECORTADO A LASER COM PINTURA EM TINTA AUTOMOTIVA, CONFORME MEMORIAL.",CPU-PPR,INSUMO,100,EXACT_CODE
19.6,CPU-HSP-0127,"BCI-A4 - BOLSAS DE COMUNICAÇÃO INTERNA - FORMATO A4 - BANDEJA EM CHAPA ACRÍLICA DE CRISTAL 2MM, COM TESTEIRA IMPRESSA SOBRE VINIL AUTOADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 22X35CM (CXA)",CPU-HSP-0127,"BCI-A4 - BOLSAS DE COMUNICAÇÃO INTERNA - FORMATO A4 - BANDEJA EM CHAPA ACRÍLICA DE CRISTAL 2MM, COM TESTEIRA IMPRESSA SOBRE VINIL AUTOADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 22X35CM (CXA)",CPU-PPR,INSUMO,100,EXACT_CODE
19.7,CPU-HSP-0638,"DPA - PAINÉIS DIRETÓRIOS DE PAVIMENTOS/ HALL DE ELEVADORES - MODELO DE 13 ATÉ 16 PAVIMENTOS - PLACA EM CHAPA DE PVC 2MM COM APLICAÇÃO DE VINIL ADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 80X272CM (CXA)",CPU-HSP-0638,"DPA - PAINÉIS DIRETÓRIOS DE PAVIMENTOS/ HALL DE ELEVADORES - MODELO DE 13 ATÉ 16 PAVIMENTOS - PLACA EM CHAPA DE PVC 2MM COM APLICAÇÃO DE VINIL ADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 80X272CM (CXA)",CPU-PPR,INSUMO,100,EXACT_CODE
19.8,CPU-HSP-1353,"PAS - PLACA DE IDENTIFICAÇÃO DE ACESSO DE SERVIÇO/ CARGA E DESCARGA, COM MOLDURA METÁLICA COM FECHAMENTO EM CHAPA DE ACM, COM INFORMAÇÕES EM VINIL ADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 70X70CM + 140X70CM (CXA)",CPU-HSP-1353,"PAS - PLACA DE IDENTIFICAÇÃO DE ACESSO DE SERVIÇO/ CARGA E DESCARGA, COM MOLDURA METÁLICA COM FECHAMENTO EM CHAPA DE ACM, COM INFORMAÇÕES EM VINIL ADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 70X70CM + 140X70CM (CXA)",CPU-PPR,INSUMO,100,EXACT_CODE
19.9,CPU-HSP-1358,"PCI - PAINEL DE COMUNICAÇÃO INTERNA - MURAL EM PLACA DE CHAPA DE ACRÍLICO TRASNPARENTE COM BANDEJASA EM CHAPA ACRÍLICA DE CRISTAL, COM TESTEIRA IMPRESSA SOBRE VINIL AUTOADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 120X80CM (CXA)",CPU-HSP-1358,"PCI - PAINEL DE COMUNICAÇÃO INTERNA - MURAL EM PLACA DE CHAPA DE ACRÍLICO TRASNPARENTE COM BANDEJASA EM CHAPA ACRÍLICA DE CRISTAL, COM TESTEIRA IMPRESSA SOBRE VINIL AUTOADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 120X80CM (CXA)",CPU-PPR,INSUMO,100,EXACT_CODE
2.1,CPU-011,"ELABORAÇÃO DE PROJETO EXECUTIVO DE ARQUITETURA HOSPITALAR, ESTRUTURAS DE CONCRETO ARMAÇO E ESTRUTURAS METÁLICAS, MOVIMENTAÇÃO DE TERRA (TERRAPLENAGEM), DRENAGEM PLUVIAL, PAVIMENTAÇÃO, ELÉTRICA, SONORIZAÇÃO E COMUNICAÇÃO, TELEFONIA, PROTEÇÃO CONTRA DESCARGAS ELÉTRICAS, INDICADOR SONORO E SINALIZAÇÃO DE EMERGÊNCIA, ILUMINAÇÃO, SISTEMA DE DETECÇÃO DE ALARME DE INCÊNDIO, SUBESTAÇÃO TRANSFORMADORA, PEINASL DE MÉDIA TENSÃO, SUBESTAÇÃO, ARCONDICIONADO, VENTILAÇÃO, E RENOVAÇÃO DE AR, IMPLANTAÇÃO DE REDE DE ESGOTO, INSTALAÇÃO DE ´RESERVATÓRIOS, ÁGUA FRIA, ÁGUA QUENTEE, REDE DE ÁGUA REEUSO, ACÚSTICA E CLIMATIZAÇÃO, GASES, GLP, DIESEL, AUTOMAÇÃO E QUADRO DE COMANDO, PREVENÇÃO E COMBATE A INCÊNDIO, LINHAS DE VIDA E ANCORAGEM, MOVEIS, LOUÇAS, METAIS, TAMPOS E MARCENARIA.",CPU-011,"ELABORAÇÃO DE PROJETO EXECUTIVO DE ARQUITETURA HOSPITALAR, ESTRUTURAS DE CONCRETO ARMAÇO E ESTRUTURAS METÁLICAS, MOVIMENTAÇÃO DE TERRA (TERRAPLENAGEM), DRENAGEM PLUVIAL, PAVIMENTAÇÃO, ELÉTRICA, SONORIZAÇÃO E COMUNICAÇÃO, TELEFONIA, PROTEÇÃO CONTRA DESCARGAS ELÉTRICAS, INDICADOR SONORO E SINALIZAÇÃO DE EMERGÊNCIA, ILUMINAÇÃO, SISTEMA DE DETECÇÃO DE ALARME DE INCÊNDIO, SUBESTAÇÃO TRANSFORMADORA, PEINASL DE MÉDIA TENSÃO, SUBESTAÇÃO, ARCONDICIONADO, VENTILAÇÃO, E RENOVAÇÃO DE AR, IMPLANTAÇÃO DE REDE DE ESGOTO, INSTALAÇÃO DE ´RESERVATÓRIOS, ÁGUA FRIA, ÁGUA QUENTEE, REDE DE ÁGUA REEUSO, ACÚSTICA E CLIMATIZAÇÃO, GASES, GLP, DIESEL, AUTOMAÇÃO E QUADRO DE COMANDO, PREVENÇÃO E COMBATE A INCÊNDIO, LINHAS DE VIDA E ANCORAGEM, MOVEIS, LOUÇAS, METAIS, TAMPOS E MARCENARIA.",PRÓPRIA,INSUMO,100,EXACT_CODE
20.1.6,S140703,PONTO DE TORNEIRA DE JARDIM (PARA PRAÇAS),S140703,PONTO DE TORNEIRA DE JARDIM (PARA PRAÇAS),IOPES,INSUMO,100,EXACT_CODE
20.2.1,00006081,ARGILA OU BARRO PARA ATERRO/REATERRO (COM TRANSPORTE ATE 10 KM),00006081,ARGILA OU BARRO PARA ATERRO/REATERRO (COM TRANSPORTE ATE 10 KM),SINAPI,INSUMO,100,EXACT_CODE
20.3.1,CPU-HSP-0102,"BANCO PRÉ-FABRICADO (180X42CM) COM 02 BASES DE CONCRETO APARENTE COM VERNIZ ACRÍLICO INCOLOR SEMI BRILHO (10X42CM - H=43CM) E 08 RIPAS EM MADEIRA JATOBÁ APLAINADA, LIXADA E COM PINTURA EM VERNIZ CETOL COR IMBUIA 02 DEMÃOS (3,5X5CM - COMPR.=170CM). MARCA: DELAZZARI OU EQUIVALENTE - VER DETALHE ESPECÍFICO",CPU-HSP-0102,"BANCO PRÉ-FABRICADO (180X42CM) COM 02 BASES DE CONCRETO APARENTE COM VERNIZ ACRÍLICO INCOLOR SEMI BRILHO (10X42CM - H=43CM) E 08 RIPAS EM MADEIRA JATOBÁ APLAINADA, LIXADA E COM PINTURA EM VERNIZ CETOL COR IMBUIA 02 DEMÃOS (3,5X5CM - COMPR.=170CM). MARCA: DELAZZARI OU EQUIVALENTE - VER DETALHE ESPECÍFICO",CPU-PPR,INSUMO,100,EXACT_CODE
20.3.2,CPU-HSP-0129,"BICICLETÁRIO MODELO ""U"" INVERTIDO, EM TUBO AÇO GALVANIZADO D=2"", DIMENSÃO:78X110CM, FIXADO EM BASE DE CONCRETO, COM ACABAMENTO EM PINTURA ELETROSTÁTICA 02 DEMÃOS COR CINZA CLARO, SOBRE 01 DEMÃO DE FUNDO ZARCÃO, CHUMBADO EM BASE",CPU-HSP-0129,"BICICLETÁRIO MODELO ""U"" INVERTIDO, EM TUBO AÇO GALVANIZADO D=2"", DIMENSÃO:78X110CM, FIXADO EM BASE DE CONCRETO, COM ACABAMENTO EM PINTURA ELETROSTÁTICA 02 DEMÃOS COR CINZA CLARO, SOBRE 01 DEMÃO DE FUNDO ZARCÃO, CHUMBADO EM BASE",CPU-PPR,INSUMO,100,EXACT_CODE
20.4.1,CPU-HSP-1061,"GUARDA-CORPO DE AÇO GALVANIZADO DE 1,10M, MONTANTES TUBULARES DE 1.1/4 ESPAÇADOS DE 1,20M, TRAVESSA SUPERIOR DE 1.1/2 , GRADIL FORMADO POR TUBOS HORIZONTAIS DE 1 E VERTICAIS DE 3/4 , FIXADO COM CHUMBADOR MECÂNICO, INCLUSO PINTURA DE ACABAMENTO EPÓXI - FORNEC. E INST.",CPU-HSP-1061,"GUARDA-CORPO DE AÇO GALVANIZADO DE 1,10M, MONTANTES TUBULARES DE 1.1/4 ESPAÇADOS DE 1,20M, TRAVESSA SUPERIOR DE 1.1/2 , GRADIL FORMADO POR TUBOS HORIZONTAIS DE 1 E VERTICAIS DE 3/4 , FIXADO COM CHUMBADOR MECÂNICO, INCLUSO PINTURA DE ACABAMENTO EPÓXI - FORNEC. E INST.",CPU-PPR,INSUMO,100,EXACT_CODE
20.4.2,CPU-HSP-0438,"CORRIMÃO DUPLO EM TUBO DE FERRO GALVANIZADO 1 1/2"", COM CHUMBADORES PARA FIXAÇÃO EM ALVENARIA, INCLUINDO 1 DEMÃO DE FUNDO ANTICORROSIVO E 2 DEMÃOS DE PINTURA ESMALTE",CPU-HSP-0438,"CORRIMÃO DUPLO EM TUBO DE FERRO GALVANIZADO 1 1/2"", COM CHUMBADORES PARA FIXAÇÃO EM ALVENARIA, INCLUINDO 1 DEMÃO DE FUNDO ANTICORROSIVO E 2 DEMÃOS DE PINTURA ESMALTE",CPU-PPR,INSUMO,100,EXACT_CODE
20.4.3,CPU-HSP-1062,"GUARDA-CORPO DE AÇO GALVANIZADO DE 1,25M, MONTANTES TUBULARES DE 1.1/4 ESPAÇADOS DE 1,20M, TRAVESSA SUPERIOR DE 1.1/2 , GRADIL FORMADO POR TUBOS HORIZONTAIS DE 1 E VERTICAIS DE 3/4 , FIXADO COM CHUMBADOR MECÂNICO, INCLUSO PINTURA DE ACABAMENTO EPÓXI - FORNEC. E INST.",CPU-HSP-1062,"GUARDA-CORPO DE AÇO GALVANIZADO DE 1,25M, MONTANTES TUBULARES DE 1.1/4 ESPAÇADOS DE 1,20M, TRAVESSA SUPERIOR DE 1.1/2 , GRADIL FORMADO POR TUBOS HORIZONTAIS DE 1 E VERTICAIS DE 3/4 , FIXADO COM CHUMBADOR MECÂNICO, INCLUSO PINTURA DE ACABAMENTO EPÓXI - FORNEC. E INST.",CPU-PPR,INSUMO,100,EXACT_CODE
20.5.1,CPU-HSP-0857,"FORNECIMENTO E INSTALAÇÃO DE SUPORTE METÁLICO GALVANIZADO PARA UMA PLACA DE SINALIZAÇÃO EM SOLO, COM H= DE 2,70 M E DIÂMETRO DE 2''.",CPU-HSP-0857,"FORNECIMENTO E INSTALAÇÃO DE SUPORTE METÁLICO GALVANIZADO PARA UMA PLACA DE SINALIZAÇÃO EM SOLO, COM H= DE 2,70 M E DIÂMETRO DE 2''.",CPU-PPR,INSUMO,100,EXACT_CODE
20.5.2,CPU-HSP-0855,"FORNECIMENTO E INSTALAÇÃO DE SUPORTE METÁLICO GALVANIZADO PARA DUAS PLACAS DE SINALIZAÇÃO EM SOLO, COM H= DE 3,15 M E DIÂMETRO DE 2''.",CPU-HSP-0855,"FORNECIMENTO E INSTALAÇÃO DE SUPORTE METÁLICO GALVANIZADO PARA DUAS PLACAS DE SINALIZAÇÃO EM SOLO, COM H= DE 3,15 M E DIÂMETRO DE 2''.",CPU-PPR,INSUMO,100,EXACT_CODE
20.5.3,CPU-HSP-0856,"FORNECIMENTO E INSTALAÇÃO DE SUPORTE METÁLICO GALVANIZADO PARA PLACA RETANGULAR DE SINALIZAÇÃO EM SOLO, COM H= DE 3,30 M E DIÂMETRO DE 2''.",CPU-HSP-0856,"FORNECIMENTO E INSTALAÇÃO DE SUPORTE METÁLICO GALVANIZADO PARA PLACA RETANGULAR DE SINALIZAÇÃO EM SOLO, COM H= DE 3,30 M E DIÂMETRO DE 2''.",CPU-PPR,INSUMO,100,EXACT_CODE
20.5.4,CPU-HSP-0854,FORNECIMENTO E INSTALAÇÃO DE PLACA DE SINALIZAÇÃO EM CHAPA DE AÇO EM SUPORTE METÁLICO,CPU-HSP-0854,FORNECIMENTO E INSTALAÇÃO DE PLACA DE SINALIZAÇÃO EM CHAPA DE AÇO EM SUPORTE METÁLICO,CPU-PPR,INSUMO,100,EXACT_CODE
20.5.6,CPU-HSP-0126,"BATE-RODA REFLETIVO EM RESINA SINTÉTICA, DIM 48X17X9CM, COM DOIS PINOS DE FIXAÇÃO, REF. COMERCIAL ICD VIAS, LMC TINTAS, SINALMAX OU EQUIVALENTE",CPU-HSP-0126,"BATE-RODA REFLETIVO EM RESINA SINTÉTICA, DIM 48X17X9CM, COM DOIS PINOS DE FIXAÇÃO, REF. COMERCIAL ICD VIAS, LMC TINTAS, SINALMAX OU EQUIVALENTE",CPU-PPR,INSUMO,100,EXACT_CODE
21.1.1,04.01.06.100.04,INSPEÇÃO E DIAGNÓSTICO DE LINHA DE VIDA COM EMISSÃO DE RELATÓRIO TÉCNICO,04.01.06.100.04,INSPEÇÃO E DIAGNÓSTICO DE LINHA DE VIDA COM EMISSÃO DE RELATÓRIO TÉCNICO,CPTM,INSUMO,100,EXACT_CODE
21.1.2,03.95.11,"MONTAGEM DE LINHA DE VIDA HORIZONTAL EM CABO DE AÇO INOX DIÂM. 8 MM, PERFIL 7X19, INCLUSIVE ACESSÓRIOS DE FIXAÇÃO",03.95.11,"MONTAGEM DE LINHA DE VIDA HORIZONTAL EM CABO DE AÇO INOX DIÂM. 8 MM, PERFIL 7X19, INCLUSIVE ACESSÓRIOS DE FIXAÇÃO",EMBASA,INSUMO,100,EXACT_CODE
21.2.1,04.01.06.100.04,INSPEÇÃO E DIAGNÓSTICO DE LINHA DE VIDA COM EMISSÃO DE RELATÓRIO TÉCNICO,04.01.06.100.04,INSPEÇÃO E DIAGNÓSTICO DE LINHA DE VIDA COM EMISSÃO DE RELATÓRIO TÉCNICO,CPTM,INSUMO,100,EXACT_CODE
21.2.2,03.95.11,"MONTAGEM DE LINHA DE VIDA HORIZONTAL EM CABO DE AÇO INOX DIÂM. 8 MM, PERFIL 7X19, INCLUSIVE ACESSÓRIOS DE FIXAÇÃO",03.95.11,"MONTAGEM DE LINHA DE VIDA HORIZONTAL EM CABO DE AÇO INOX DIÂM. 8 MM, PERFIL 7X19, INCLUSIVE ACESSÓRIOS DE FIXAÇÃO",EMBASA,INSUMO,100,EXACT_CODE
21.3.1,04.01.06.100.04,INSPEÇÃO E DIAGNÓSTICO DE LINHA DE VIDA COM EMISSÃO DE RELATÓRIO TÉCNICO,04.01.06.100.04,INSPEÇÃO E DIAGNÓSTICO DE LINHA DE VIDA COM EMISSÃO DE RELATÓRIO TÉCNICO,CPTM,INSUMO,100,EXACT_CODE
21.3.2,03.95.11,"MONTAGEM DE LINHA DE VIDA HORIZONTAL EM CABO DE AÇO INOX DIÂM. 8 MM, PERFIL 7X19, INCLUSIVE ACESSÓRIOS DE FIXAÇÃO",03.95.11,"MONTAGEM DE LINHA DE VIDA HORIZONTAL EM CABO DE AÇO INOX DIÂM. 8 MM, PERFIL 7X19, INCLUSIVE ACESSÓRIOS DE FIXAÇÃO",EMBASA,INSUMO,100,EXACT_CODE
22.2.1,ED-50027,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE NORMAL, DN 50 MM (2""), INCLUSIVE CONEXÕES",ED-50027,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE NORMAL, DN 50 MM (2""), INCLUSIVE CONEXÕES",SETOP,INSUMO,100,EXACT_CODE
22.2.2,ED-50029,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE NORMAL, DN 100 MM (4""), INCLUSIVE CONEXÕES",ED-50029,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE NORMAL, DN 100 MM (4""), INCLUSIVE CONEXÕES",SETOP,INSUMO,100,EXACT_CODE
22.2.3,ED-50031,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE NORMAL, DN 200 MM (8""), INCLUSIVE CONEXÕES",ED-50031,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE NORMAL, DN 200 MM (8""), INCLUSIVE CONEXÕES",SETOP,INSUMO,100,EXACT_CODE
22.2.4,ED-50035,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PB - SÉRIE REFORÇADO, DN 40MM (1.1/2""), INCLUSIVE CONEXÕES",ED-50035,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PB - SÉRIE REFORÇADO, DN 40MM (1.1/2""), INCLUSIVE CONEXÕES",SETOP,INSUMO,100,EXACT_CODE
22.2.5,ED-50036,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE REFORÇADO, DN 50 MM (2""), INCLUSIVE CONEXÕES",ED-50036,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE REFORÇADO, DN 50 MM (2""), INCLUSIVE CONEXÕES",SETOP,INSUMO,100,EXACT_CODE
22.2.6,ED-50037,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE REFORÇADO, DN 75 MM (3""), INCLUSIVE CONEXÕES",ED-50037,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE REFORÇADO, DN 75 MM (3""), INCLUSIVE CONEXÕES",SETOP,INSUMO,100,EXACT_CODE
22.2.7,ED-50038,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE REFORÇADO, DN 100 MM (4""), INCLUSIVE CONEXÕES",ED-50038,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE REFORÇADO, DN 100 MM (4""), INCLUSIVE CONEXÕES",SETOP,INSUMO,100,EXACT_CODE
22.2.8,ED-50039,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE REFORÇADO, DN 150 MM (6""), INCLUSIVE CONEXÕES",ED-50039,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE REFORÇADO, DN 150 MM (6""), INCLUSIVE CONEXÕES",SETOP,INSUMO,100,EXACT_CODE
22.4.1,46.01.020,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 25 MM, (3/4´), INCLUSIVE CONEXÕES",46.01.020,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 25 MM, (3/4´), INCLUSIVE CONEXÕES",SP OBRAS,INSUMO,100,EXACT_CODE
22.4.10,48.02.207,RESERVATÓRIO EM POLIETILENO COM TAMPA DE ENCAIXAR - CAPACIDADE DE 10.000 LITROS,48.02.207,RESERVATÓRIO EM POLIETILENO COM TAMPA DE ENCAIXAR - CAPACIDADE DE 10.000 LITROS,SP OBRAS,INSUMO,100,EXACT_CODE
22.4.2,46.01.030,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 32 MM, (1´), INCLUSIVE CONEXÕES",46.01.030,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 32 MM, (1´), INCLUSIVE CONEXÕES",SP OBRAS,INSUMO,100,EXACT_CODE
22.4.3,46.01.040,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 40 MM, (1 1/4´), INCLUSIVE CONEXÕES",46.01.040,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 40 MM, (1 1/4´), INCLUSIVE CONEXÕES",SP OBRAS,INSUMO,100,EXACT_CODE
22.4.4,46.01.050,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 50 MM, (1 1/2´), INCLUSIVE CONEXÕES",46.01.050,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 50 MM, (1 1/2´), INCLUSIVE CONEXÕES",SP OBRAS,INSUMO,100,EXACT_CODE
22.4.5,46.01.060,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 60 MM, (2´), INCLUSIVE CONEXÕES",46.01.060,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 60 MM, (2´), INCLUSIVE CONEXÕES",SP OBRAS,INSUMO,100,EXACT_CODE
22.4.6,46.01.070,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 75 MM, (2 1/2´), INCLUSIVE CONEXÕES",46.01.070,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 75 MM, (2 1/2´), INCLUSIVE CONEXÕES",SP OBRAS,INSUMO,100,EXACT_CODE
22.4.7,46.01.080,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 85 MM, (3´), INCLUSIVE CONEXÕES",46.01.080,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 85 MM, (3´), INCLUSIVE CONEXÕES",SP OBRAS,INSUMO,100,EXACT_CODE
22.4.8,46.01.090,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 110 MM, (4´), INCLUSIVE CONEXÕES",46.01.090,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 110 MM, (4´), INCLUSIVE CONEXÕES",SP OBRAS,INSUMO,100,EXACT_CODE
22.4.9,48.02.009,RESERVATÓRIO DE FIBRA DE VIDRO - CAPACIDADE DE 20.000 LITROS,48.02.009,RESERVATÓRIO DE FIBRA DE VIDRO - CAPACIDADE DE 20.000 LITROS,SP OBRAS,INSUMO,100,EXACT_CODE
22.5.1,02.02.02.200.02,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 22 MM - COM CONEXÕES",02.02.02.200.02,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 22 MM - COM CONEXÕES",CPTM,INSUMO,100,EXACT_CODE
22.5.2,02.02.02.200.03,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 28 MM - COM CONEXÕES",02.02.02.200.03,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 28 MM - COM CONEXÕES",CPTM,INSUMO,100,EXACT_CODE
22.5.3,02.02.02.200.04,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 35 MM - COM CONEXÕES",02.02.02.200.04,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 35 MM - COM CONEXÕES",CPTM,INSUMO,100,EXACT_CODE
22.5.4,02.02.02.200.06,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 54 MM - COM CONEXÕES",02.02.02.200.06,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 54 MM - COM CONEXÕES",CPTM,INSUMO,100,EXACT_CODE
22.5.5,02.02.02.200.05,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 42 MM - COM CONEXÕES",02.02.02.200.05,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 42 MM - COM CONEXÕES",CPTM,INSUMO,100,EXACT_CODE
22.7.15,61.15.164,TERMOSTATO DE SEGURANÇA COM TEMPERATURA AJUSTÁVEL DE 90°C - 110°C,61.15.164,TERMOSTATO DE SEGURANÇA COM TEMPERATURA AJUSTÁVEL DE 90°C - 110°C,SP OBRAS,INSUMO,100,EXACT_CODE
22.7.16,S07064,"FORNECIMENTO DE VENTOSA SIMPLES COM ROSCA DIAM 1 1/4""",S07064,"FORNECIMENTO DE VENTOSA SIMPLES COM ROSCA DIAM 1 1/4""",ORSE,INSUMO,100,EXACT_CODE
22.7.17,DR 14.30.0109 (/),"VÁLVULA REDUTORA DE PRESSÃO D'ÁGUA POTÁVEL, DE 3"", CORPO E ÊMBOLO EM BRONZE ASTM-B62, FABRICAÇÃO PRONIL D'INOX, MODELO CL-10, COM PRESSÃO DE ENTRADA ATÉ 10KGF/CM2, CONEXÕES ROQUEADAS DE 3"", PRESSÃO DE SAÍDA AJUSTÁVEL EXTERNAMENTE DE 0,5 ATÉ 5KGF/CM2, COM MANÔMETRO INSERIDO NO CORPO DA VÁLVULA, SERVINDO PARA TUBULAÇÕES VERTICAIS E HORIZONTAIS. FORNECIMENTO E ASSENTAMENTO.(DESONERADO)",DR 14.30.0109 (/),"VÁLVULA REDUTORA DE PRESSÃO D'ÁGUA POTÁVEL, DE 3"", CORPO E ÊMBOLO EM BRONZE ASTM-B62, FABRICAÇÃO PRONIL D'INOX, MODELO CL-10, COM PRESSÃO DE ENTRADA ATÉ 10KGF/CM2, CONEXÕES ROQUEADAS DE 3"", PRESSÃO DE SAÍDA AJUSTÁVEL EXTERNAMENTE DE 0,5 ATÉ 5KGF/CM2, COM MANÔMETRO INSERIDO NO CORPO DA VÁLVULA, SERVINDO PARA TUBULAÇÕES VERTICAIS E HORIZONTAIS. FORNECIMENTO E ASSENTAMENTO.(DESONERADO)",SCO,INSUMO,100,EXACT_CODE
22.7.18,I08596,"FILTRO ""Y"" TELA INOX Ø 3""",I08596,"FILTRO ""Y"" TELA INOX Ø 3""",ORSE,INSUMO,100,EXACT_CODE
22.7.21,18.003.0005-0,"VALVULA DE DESCARGA DE 1.1/4"",REGISTRO INTEGRADO,CORPO EM LATAO E ACABAMENTO COM ACIONAMENTO POR BOTAO EM METAL CROMADO.FORNECIMENTO",18.003.0005-0,"VALVULA DE DESCARGA DE 1.1/4"",REGISTRO INTEGRADO,CORPO EM LATAO E ACABAMENTO COM ACIONAMENTO POR BOTAO EM METAL CROMADO.FORNECIMENTO",EMOP,INSUMO,100,EXACT_CODE
22.7.5,I09726,CAIXA SEPARADORA DE ÁGUA E ÓLEO S.A.O VAZÃO DE 5000 LITROS/HORA,I09726,CAIXA SEPARADORA DE ÁGUA E ÓLEO S.A.O VAZÃO DE 5000 LITROS/HORA,ORSE,INSUMO,100,EXACT_CODE
