idx,source,code,desc,unit,qty,manual_price,type,status,final_price,method
19.25,CPU-PPR,CPU-HSP-1501,"PLO 09 - PLOTAGEM EM ADESIVO VINÍLICO COM ACABAMENTO FOSCO, PADRÃO INFANTIL, CONFORME MEMORIAL",M2,76.68,159.38,ITEM,NO_COMP,159.38,PO_MANUAL
19.26,CPU-PPR,CPU-HSP-1548,"PPA - PLACA DE IDENTIFICAÇÃO DE PORTÃO DE ACESSO, COM MOLDURA METÁLICA COM FECHAMENTO EM CHAPA DE ACM, COM INFORMAÇÕES EM VINIL ADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 70X70CM (CXA)",UN,10.0,577.19,ITEM,NO_COMP,577.19,PO_MANUAL
19.27,CPU-PPR,CPU-HSP-1549,"PP-AC - PLACA INDICATIVA DE PORTAS - ACESSIBILIDADE - PLACA EM CHAPA DE PVC 2MM COM APLICAÇÃO DE VINIL ADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 50X17CM (CXA) + 17X17CM",UN,40.0,70.35,ITEM,NO_COMP,70.35,PO_MANUAL
19.28,CPU-PPR,CPU-HSP-1550,"PPE-B - PLACA DE IDENTIFICAÇÃO DE ALAS/ SETORES/ SALAS - MODELO BANDEIRA - BASTIDOR EM CHAPA DE ALUMÍNIO COM PLACA EM CHAPA ACM 2MM COM APLICAÇÃO DE VINIL ADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 25X25CM (CXA)",UN,13.0,59.91,ITEM,NO_COMP,59.91,PO_MANUAL
19.29,CPU-PPR,CPU-HSP-1551,"PPE-IA - PLACA DE IDENTIFICAÇÃO DE POSTO DE ENFERMAGEM - PLACA SUSPENSA - ESTRUTURA TUBULAR METÁLICA REVESTIDA COM CHAPA DE ACM COM APLICAÇÃO DE VINIL ADESIVO, FIXADO COM CABOS DE AÇO NA LAJE, CONFORME MEMORIAL. DIMENSÃO TOTAL: 150X25CM (CXA)",UN,21.0,698.52,ITEM,NO_COMP,698.52,PO_MANUAL
19.30,CPU-PPR,CPU-HSP-1552,"PP-P - PLACA INDICATIVA DE PORTAS - PICTOGRAMA - PLACA EM CHAPA DE PVC 2MM COM APLICAÇÃO DE VINIL ADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 17X17CM (CXA)",UN,228.0,31.1,ITEM,NO_COMP,31.1,PO_MANUAL
19.31,CPU-PPR,CPU-HSP-1553,"PP-SR - PLACA INDICATIVA DE PORTAS - SALA DE RADIOLOGIA - PLACA EM CHAPA DE PVC 2MM COM APLICAÇÃO DE VINIL ADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 50X17CM (CXA) + 4 PLACAS 17X17CM",UN,4.0,86.86,ITEM,NO_COMP,86.86,PO_MANUAL
19.32,CPU-PPR,CPU-HSP-1554,"PP-TN - PLACA INDICATIVA DE PORTAS - TEXTO E NUMERAÇÃO - PLACA EM CHAPA DE PVC 2MM COM APLICAÇÃO DE VINIL ADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 50X17CM (CXA)",UN,255.0,45.760000000000005,ITEM,NO_COMP,45.760000000000005,PO_MANUAL
19.33,CPU-PPR,CPU-HSP-1555,"PP-TP - PLACA INDICATIVA DE PORTAS - TEXTO E PICTOGRAMA - PLACA EM CHAPA DE PVC 2MM COM APLICAÇÃO DE VINIL ADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 50X17CM (CXA)",UN,539.0,45.760000000000005,ITEM,NO_COMP,45.760000000000005,PO_MANUAL
19.34,CPU-PPR,CPU-HSP-1556,"PP-TS - PLACA INDICATIVA DE PORTAS - TEXTO SIMPLES - PLACA EM CHAPA DE PVC 2MM COM APLICAÇÃO DE VINIL ADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 50X17CM (CXA)",UN,349.0,45.760000000000005,ITEM,NO_COMP,45.760000000000005,PO_MANUAL
19.35,CPU-PPR,CPU-HSP-1571,"PRS-17 - PLACA RESTRITIVA E DE SEGURANÇA - 17X17CM - PLACA EM CHAPA DE PVC 2MM COM APLICAÇÃO DE VINIL ADESIVO, CONFORME MEMORIAL.",UN,149.0,19.32,ITEM,NO_COMP,19.32,PO_MANUAL
19.36,CPU-PPR,CPU-HSP-1572,"PRS-32 - PLACA RESTRITIVA E DE SEGURANÇA - 32X42CM - PLACA EM CHAPA DE PVC 2MM COM APLICAÇÃO DE VINIL ADESIVO, CONFORME MEMORIAL.",UN,15.0,44.96,ITEM,NO_COMP,44.96,PO_MANUAL
19.37,CPU-PPR,CPU-HSP-1944,"SINALIZAÇÃO DE PROIBIÇÃO-SA-PA - PLACAS EM PCV 2MM, FIXAÇÃO COM FITA DUPLA FACE",UN,1.0,84.16,ITEM,NO_COMP,84.16,PO_MANUAL
19.38,CPU-PPR,CPU-HSP-1945,"SINALIZAÇÃO DE PROIBIÇÃO-SP-PP - PLACAS EM PCV 2MM, FIXAÇÃO COM FITA DUPLA FACE",UN,2.0,84.16,ITEM,NO_COMP,84.16,PO_MANUAL
19.39,CPU-PPR,CPU-HSP-1971,TAE-M - TESTEIRA PARA IDENTIFICAÇÃO DE ACESSO A ÁREAS ESPECIAIS DO HOSPITAL - P,UN,4.0,9364.859999999999,ITEM,NO_COMP,9364.859999999999,PO_MANUAL
19.40,CPU-PPR,CPU-HSP-1972,"TAH-M - TESTEIRA PARA IDENTIFICAÇÃO DE ACESSO AO HOSPITAL- MÉDIO, COM ESTRUTURA TUBULAR METÁLICA, COM FECHAMENTO EM CHAPA DE ACM 3MM, COM SÍMBOLO E TEXTOS EM CHAPA DE ACRÍLICO 10MM COM RECORTE A LASER E PINTURA AUTOMOTIVA NAS CORES DO HOSPITAL, CONFORME MEMORIAL. DIMENSÃO TOTAL: 600X100CM (CXA)",UN,2.0,6497.25,ITEM,NO_COMP,6497.25,PO_MANUAL
19.41,CPU-PPR,CPU-HSP-2123,"TIA-P - TESTEIRA PARA IDENTIFICAÇÃO DE ACESSOS/SETORES, COM CAIXA EM ESTRUTURA TUBULAR METÁLICA, COM FECHAMENTO EM CHAPA DE AÇO GALVANIZADO COM PINTURA AUTOMOTIVA COR BRANCO, COM INFORMAÇÕES EM VINIL ADESIVO, CONFORME MEMORIAL. DIMENSÃO TOTAL: 200X40CM (CXA)",UN,12.0,1589.0900000000001,ITEM,NO_COMP,1589.0900000000001,PO_MANUAL
19.42,CPU-PPR,CPU-HSP-2124,"TIE-P - TESTEIRA PARA IDENTIFICAÇÃO DE ACESSO À EMERGÊNCIA - PEQUENO, COM ESTRUTURA TUBULAR METÁLICA, COM FECHAMENTO EM CHAPA DE ACM 3MM, COM SÍMBOLO E TEXTOS EM CHAPA DE ACRÍLICO 10MM COM RECORTE A LASER E PINTURA AUTOMOTIVA NAS CORES DO HOSPITAL, CONFORME MEMORIAL. DIMENSÃO TOTAL: 600X100CM (CXA)",UN,2.0,6497.25,ITEM,NO_COMP,6497.25,PO_MANUAL
19.43,CPU-PPR,CPU-HSP-1931,"SDP - SINALIZAÇÃO DE PISO EM VINIL ADESIVO COM APLICACAO DE LAMINAÇÃO FOSCA, NAS CORES INDICADAS NO PROJETO, LARGURA=10CM",M,268.98,18.56,ITEM,NO_COMP,18.56,PO_MANUAL
19.44,PRÓPRIA,CPU-EBSERH-0102,"TOV-G - TOTEM VERTICAL- GRANDE, COM BASE SAPATA DE CONCRETO E ESTRUTURA TUBULAR METÁLICA, COM FECHAMENTO EM CHAPA DE ACM 3MM COR CINZA E LATERAIS BRANCO, COM SÍMBOLO E TEXTOS EM CHAPA DE ACRÍLICO 10MM COM RECORTE A LASER E PINTURA AUTOMOTIVA NAS CORES DO HOSPITAL, CONFORME MEMORIAL. DIMENSÃO TOTAL: 140 X 900",UN,2.0,18709.91,ITEM,NO_COMP,18709.91,PO_MANUAL
19.45,PRÓPRIA,CPU-EBSERH-0103,"TOV-P - TOTEM VERTICAL- PEQUENO, COM BASE SAPATA DE CONCRETO E ESTRUTURA TUBULAR METÁLICA, COM FECHAMENTO EM CHAPA DE ACM 3MM COR CINZA E LATERAIS BRANCO, COM SÍMBOLO E TEXTOS EM CHAPA DE ACRÍLICO 10MM COM RECORTE A LASER E PINTURA AUTOMOTIVA NAS CORES DO HOSPITAL, CONFORME MEMORIAL. DIMENSÃO TOTAL: 70 X 400 CM",UN,2.0,4800.0,ITEM,NO_COMP,4800.0,PO_MANUAL
20,,,"PAISAGISMO, URBANISMO E SINALIZAÇÃO VIÁRIA",,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
20.1,,,PAISAGISMO,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
20.1.1,SINAPI,103946,"PLANTIO DE GRAMA ESMERALDA OU SÃO CARLOS OU CURITIBANA, EM PLACAS. AF_07/2024",M2,1780.0,18.919999999999998,ITEM,OK,21.765006841719998,CALCULATED
20.1.2,SINAPI,98504,PLANTIO DE GRAMA BATATAIS EM PLACAS. AF_07/2024,M2,3950.0,14.63,ITEM,OK,16.93500684172,CALCULATED
20.1.3,SINAPI,98516,"PLANTIO DE PALMEIRA COM ALTURA DE MUDA MENOR OU IGUAL A 2,00 M . AF_07/2024",UN,10.0,382.09999999999997,ITEM,OK,329.923730751636,CALCULATED
20.1.4,SINAPI,98510,"PLANTIO DE ÁRVORE ORNAMENTAL COM ALTURA DE MUDA MENOR OU IGUAL A 2,00 M . AF_07/2024",UN,197.0,115.04,ITEM,OK,86.6961875536,CALCULATED
20.1.5,SINAPI,98511,"PLANTIO DE ÁRVORE ORNAMENTAL COM ALTURA DE MUDA MAIOR QUE 2,00 M E MENOR OU IGUAL A 4,00 M . AF_07/2024",UN,144.0,209.0,ITEM,OK,144.25930683706,CALCULATED
20.1.6,IOPES,S140703,PONTO DE TORNEIRA DE JARDIM (PARA PRAÇAS),PT,20.0,461.11,ITEM,NO_COMP,461.11,PO_MANUAL
20.2,,,FLOREIRA EM ALVENARIA,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
20.2.1,SINAPI,00006081,ARGILA OU BARRO PARA ATERRO/REATERRO (COM TRANSPORTE ATE 10 KM),M3,3.82,54.26,ITEM,NO_COMP,54.26,PO_MANUAL
20.2.2,SINAPI,103322,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,M2,17.66,61.36,ITEM,OK,62.372488281999985,CALCULATED
20.2.3,SINAPI,87794,"EMBOÇO OU MASSA ÚNICA EM ARGAMASSA TRAÇO 1:2:8, PREPARO MANUAL, APLICADA MANUALMENTE EM PANOS CEGOS DE FACHADA (SEM PRESENÇA DE VÃOS), ESPESSURA DE 25 MM. AF_09/2022",M2,31.96,46.980000000000004,ITEM,OK,48.62936240961799,CALCULATED
20.2.4,SINAPI,88489,"PINTURA LÁTEX ACRÍLICA PREMIUM, APLICAÇÃO MANUAL EM PAREDES, DUAS DEMÃOS. AF_04/2023",M2,15.21,13.02,ITEM,OK,14.43567488839,CALCULATED
20.2.5,SINAPI,98557,"IMPERMEABILIZAÇÃO DE SUPERFÍCIE COM EMULSÃO ASFÁLTICA, 2 DEMÃOS. AF_09/2023",M2,16.75,42.09,ITEM,OK,48.13356541266,CALCULATED
20.3,,,URBANIZAÇÃO,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
20.3.1,CPU-PPR,CPU-HSP-0102,"BANCO PRÉ-FABRICADO (180X42CM) COM 02 BASES DE CONCRETO APARENTE COM VERNIZ ACRÍLICO INCOLOR SEMI BRILHO (10X42CM - H=43CM) E 08 RIPAS EM MADEIRA JATOBÁ APLAINADA, LIXADA E COM PINTURA EM VERNIZ CETOL COR IMBUIA 02 DEMÃOS (3,5X5CM - COMPR.=170CM). MARCA: DELAZZARI OU EQUIVALENTE - VER DETALHE ESPECÍFICO",UN,12.0,1317.5600000000002,ITEM,NO_COMP,1317.5600000000002,PO_MANUAL
20.3.2,CPU-PPR,CPU-HSP-0129,"BICICLETÁRIO MODELO ""U"" INVERTIDO, EM TUBO AÇO GALVANIZADO D=2"", DIMENSÃO:78X110CM, FIXADO EM BASE DE CONCRETO, COM ACABAMENTO EM PINTURA ELETROSTÁTICA 02 DEMÃOS COR CINZA CLARO, SOBRE 01 DEMÃO DE FUNDO ZARCÃO, CHUMBADO EM BASE",UN,9.0,245.16000000000003,ITEM,NO_COMP,245.16000000000003,PO_MANUAL
20.3.3,ORSE,S13810,"CONJUNTO COM 02 LIXEIRAS, COM CAPACIDADE 60L CADA, COM ESTRUTURA METÁLICA PARA SUPORTE DE CESTAS, CONFORME PROJETO.",UN,28.0,2960.11,ITEM,NO_COMP,3807.01,PO_MANUAL
20.3.4,ORSE,S13810,"CONJUNTO COM 05 LIXEIRAS, COM CAPACIDADE 60L CADA, COM ESTRUTURA METÁLICA PARA SUPORTE DE CESTAS, CONFORME PROJETO.",UN,13.0,3807.01,ITEM,NO_COMP,3807.01,PO_MANUAL
20.3.5,FDE,16.07.043,"OC-01 OBSTACULO PRE FABRICADO DE CONCRETO TIPO FRADE Ø40 CM, TIPO BOLA, COR NATUAL",UN,16.0,226.32,ITEM,NO_COMP,226.32,PO_MANUAL
20.4,,,CORRIMÃO E GUARDA-CORPO,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
20.4.1,CPU-PPR,CPU-HSP-1061,"GUARDA-CORPO DE AÇO GALVANIZADO DE 1,10M, MONTANTES TUBULARES DE 1.1/4 ESPAÇADOS DE 1,20M, TRAVESSA SUPERIOR DE 1.1/2 , GRADIL FORMADO POR TUBOS HORIZONTAIS DE 1 E VERTICAIS DE 3/4 , FIXADO COM CHUMBADOR MECÂNICO, INCLUSO PINTURA DE ACABAMENTO EPÓXI - FORNEC. E INST.",M,131.95,477.91999999999996,ITEM,NO_COMP,477.91999999999996,PO_MANUAL
20.4.2,CPU-PPR,CPU-HSP-0438,"CORRIMÃO DUPLO EM TUBO DE FERRO GALVANIZADO 1 1/2"", COM CHUMBADORES PARA FIXAÇÃO EM ALVENARIA, INCLUINDO 1 DEMÃO DE FUNDO ANTICORROSIVO E 2 DEMÃOS DE PINTURA ESMALTE",M,131.95,206.18,ITEM,NO_COMP,206.18,PO_MANUAL
20.4.3,CPU-PPR,CPU-HSP-1062,"GUARDA-CORPO DE AÇO GALVANIZADO DE 1,25M, MONTANTES TUBULARES DE 1.1/4 ESPAÇADOS DE 1,20M, TRAVESSA SUPERIOR DE 1.1/2 , GRADIL FORMADO POR TUBOS HORIZONTAIS DE 1 E VERTICAIS DE 3/4 , FIXADO COM CHUMBADOR MECÂNICO, INCLUSO PINTURA DE ACABAMENTO EPÓXI - FORNEC. E INST.",M,264.77,776.3100000000001,ITEM,NO_COMP,776.3100000000001,PO_MANUAL
20.5,,,SINALIZAÇÃO VIÁRIA,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
20.5.1,CPU-PPR,CPU-HSP-0857,"FORNECIMENTO E INSTALAÇÃO DE SUPORTE METÁLICO GALVANIZADO PARA UMA PLACA DE SINALIZAÇÃO EM SOLO, COM H= DE 2,70 M E DIÂMETRO DE 2''.",UN,121.0,278.55999999999995,ITEM,NO_COMP,278.55999999999995,PO_MANUAL
20.5.2,CPU-PPR,CPU-HSP-0855,"FORNECIMENTO E INSTALAÇÃO DE SUPORTE METÁLICO GALVANIZADO PARA DUAS PLACAS DE SINALIZAÇÃO EM SOLO, COM H= DE 3,15 M E DIÂMETRO DE 2''.",UN,10.0,319.44000000000005,ITEM,NO_COMP,319.44000000000005,PO_MANUAL
20.5.3,CPU-PPR,CPU-HSP-0856,"FORNECIMENTO E INSTALAÇÃO DE SUPORTE METÁLICO GALVANIZADO PARA PLACA RETANGULAR DE SINALIZAÇÃO EM SOLO, COM H= DE 3,30 M E DIÂMETRO DE 2''.",UN,54.0,326.87,ITEM,NO_COMP,326.87,PO_MANUAL
20.5.4,CPU-PPR,CPU-HSP-0854,FORNECIMENTO E INSTALAÇÃO DE PLACA DE SINALIZAÇÃO EM CHAPA DE AÇO EM SUPORTE METÁLICO,M2,67.51,1283.5,ITEM,NO_COMP,1283.5,PO_MANUAL
20.5.5,SINAPI,102513,"PINTURA DE SÍMBOLOS E TEXTOS COM TINTA ACRÍLICA, DEMARCAÇÃO COM FITA ADESIVA E APLICAÇÃO COM ROLO. AF_05/2021",M2,711.7,50.8,ITEM,OK,57.31293320000001,CALCULATED
20.5.6,CPU-PPR,CPU-HSP-0126,"BATE-RODA REFLETIVO EM RESINA SINTÉTICA, DIM 48X17X9CM, COM DOIS PINOS DE FIXAÇÃO, REF. COMERCIAL ICD VIAS, LMC TINTAS, SINALMAX OU EQUIVALENTE",UN,226.0,108.51,ITEM,NO_COMP,108.51,PO_MANUAL
21,,,LINHA DE VIDA,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
21.1,,,1 - LINHA DE VIDA PASSARELA,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
21.1.1,CPTM,04.01.06.100.04,INSPEÇÃO E DIAGNÓSTICO DE LINHA DE VIDA COM EMISSÃO DE RELATÓRIO TÉCNICO,M,480.0,21.549999999999997,ITEM,NO_COMP,21.549999999999997,PO_MANUAL
21.1.2,EMBASA,03.95.11,"MONTAGEM DE LINHA DE VIDA HORIZONTAL EM CABO DE AÇO INOX DIÂM. 8 MM, PERFIL 7X19, INCLUSIVE ACESSÓRIOS DE FIXAÇÃO",M,480.0,57.29,ITEM,NO_COMP,57.29,PO_MANUAL
21.2,,,2 - LINHA DE VIDA PATAMAR,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
21.2.1,CPTM,04.01.06.100.04,INSPEÇÃO E DIAGNÓSTICO DE LINHA DE VIDA COM EMISSÃO DE RELATÓRIO TÉCNICO,M,580.0,21.549999999999997,ITEM,NO_COMP,21.549999999999997,PO_MANUAL
21.2.2,EMBASA,03.95.11,"MONTAGEM DE LINHA DE VIDA HORIZONTAL EM CABO DE AÇO INOX DIÂM. 8 MM, PERFIL 7X19, INCLUSIVE ACESSÓRIOS DE FIXAÇÃO",M,580.0,57.29,ITEM,NO_COMP,57.29,PO_MANUAL
21.3,,,3 - LINHA DE VIDA COBERTURA,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
21.3.1,CPTM,04.01.06.100.04,INSPEÇÃO E DIAGNÓSTICO DE LINHA DE VIDA COM EMISSÃO DE RELATÓRIO TÉCNICO,M,130.0,21.549999999999997,ITEM,NO_COMP,21.549999999999997,PO_MANUAL
21.3.2,EMBASA,03.95.11,"MONTAGEM DE LINHA DE VIDA HORIZONTAL EM CABO DE AÇO INOX DIÂM. 8 MM, PERFIL 7X19, INCLUSIVE ACESSÓRIOS DE FIXAÇÃO",M,130.0,57.29,ITEM,NO_COMP,57.29,PO_MANUAL
22,,,PROJETO HIDROSSANITÁRIO,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
22.1,,,TUBO RÍGIDO,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
22.1.1,SINAPI,103089,TUBO DE FERRO FUNDIDO COM BOLSAS - FOFO - Ø80 MM,M,8.83,12.43,ITEM,OK,13.489159075389399,CALCULATED
22.1.2,SINAPI,103090,TUBO DE FERRO FUNDIDO COM BOLSAS - FOFO - Ø100 MM,M,33.57,14.870000000000001,ITEM,OK,16.1566297792576,CALCULATED
22.1.3,SINAPI,103091,TUBO DE FERRO FUNDIDO COM BOLSAS - FOFO - Ø150 MM,M,1.75,20.91,ITEM,OK,22.807827051227,CALCULATED
22.2,,,ESGOTO,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
22.2.1,SETOP,ED-50027,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE NORMAL, DN 50 MM (2""), INCLUSIVE CONEXÕES",M,9.18,35.26,ITEM,NO_COMP,35.26,PO_MANUAL
22.2.2,SETOP,ED-50029,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE NORMAL, DN 100 MM (4""), INCLUSIVE CONEXÕES",M,121.93,49.6,ITEM,NO_COMP,49.6,PO_MANUAL
22.2.3,SETOP,ED-50031,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE NORMAL, DN 200 MM (8""), INCLUSIVE CONEXÕES",M,326.26,138.95000000000002,ITEM,NO_COMP,138.95000000000002,PO_MANUAL
22.2.4,SETOP,ED-50035,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PB - SÉRIE REFORÇADO, DN 40MM (1.1/2""), INCLUSIVE CONEXÕES",M,1789.2,31.46,ITEM,NO_COMP,31.46,PO_MANUAL
22.2.5,SETOP,ED-50036,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE REFORÇADO, DN 50 MM (2""), INCLUSIVE CONEXÕES",M,4729.09,37.6,ITEM,NO_COMP,37.6,PO_MANUAL
22.2.6,SETOP,ED-50037,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE REFORÇADO, DN 75 MM (3""), INCLUSIVE CONEXÕES",M,1476.18,52.21,ITEM,NO_COMP,52.21,PO_MANUAL
22.2.7,SETOP,ED-50038,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE REFORÇADO, DN 100 MM (4""), INCLUSIVE CONEXÕES",M,25501.13,70.45,ITEM,NO_COMP,70.45,PO_MANUAL
22.2.8,SETOP,ED-50039,"FORNECIMENTO E ASSENTAMENTO DE TUBO PVC RÍGIDO, ESGOTO, PBV - SÉRIE REFORÇADO, DN 150 MM (6""), INCLUSIVE CONEXÕES",M,3288.73,102.39999999999999,ITEM,NO_COMP,102.39999999999999,PO_MANUAL
22.3,,,PLUVIAL,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
22.3.1,SINAPI,92808,TUBO DE CONCRETO ARMADO - CONCRETO ARMADO - Ø300 MM,M,96.47,25.9,ITEM,OK,27.7743982337234,CALCULATED
22.3.2,SINAPI,92809,TUBO DE CONCRETO ARMADO - CONCRETO ARMADO - Ø400 MM,M,175.52,36.04,ITEM,OK,38.5555191264092,CALCULATED
22.3.3,SINAPI,92810,TUBO DE CONCRETO ARMADO - CONCRETO ARMADO - Ø500 MM,M,51.5,46.51,ITEM,OK,49.64460254659599,CALCULATED
22.3.4,SINAPI,89508,TUBO SÉRIE REFORÇADA - PVC SÉRIE R - Ø40 MM,M,796.56,17.490000000000002,ITEM,OK,19.569600083399997,CALCULATED
22.3.5,SINAPI,89509,TUBO SÉRIE REFORÇADA - PVC SÉRIE R - Ø50 MM,M,221.73,23.6,ITEM,OK,26.2619420406,CALCULATED
22.3.6,SINAPI,89511,TUBO SÉRIE REFORÇADA - PVC SÉRIE R - Ø75 MM,M,96.65,40.11,ITEM,OK,44.215404952200004,CALCULATED
22.3.7,SINAPI,89512,TUBO SÉRIE REFORÇADA - PVC SÉRIE R - Ø100 MM,M,93.91,51.010000000000005,ITEM,OK,56.611449835200006,CALCULATED
22.3.8,SINAPI,104166,TUBO SÉRIE REFORÇADA - PVC SÉRIE R - Ø150 MM,M,1518.12,75.44,ITEM,OK,79.09304687340001,CALCULATED
22.3.9,SINAPI,104166,TUBO SÉRIE REFORÇADA - PVC SÉRIE R - Ø200 MM,M,1199.23,75.44,ITEM,OK,79.09304687340001,CALCULATED
22.4,,,ÁGUA FRIA,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
22.4.1,SP OBRAS,46.01.020,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 25 MM, (3/4´), INCLUSIVE CONEXÕES",M,6566.76,32.99,ITEM,NO_COMP,32.99,PO_MANUAL
22.4.2,SP OBRAS,46.01.030,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 32 MM, (1´), INCLUSIVE CONEXÕES",M,1647.57,40.22,ITEM,NO_COMP,40.22,PO_MANUAL
22.4.3,SP OBRAS,46.01.040,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 40 MM, (1 1/4´), INCLUSIVE CONEXÕES",M,1946.3,49.760000000000005,ITEM,NO_COMP,49.760000000000005,PO_MANUAL
22.4.4,SP OBRAS,46.01.050,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 50 MM, (1 1/2´), INCLUSIVE CONEXÕES",M,1063.9,52.71,ITEM,NO_COMP,52.71,PO_MANUAL
22.4.5,SP OBRAS,46.01.060,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 60 MM, (2´), INCLUSIVE CONEXÕES",M,848.0,78.00999999999999,ITEM,NO_COMP,78.00999999999999,PO_MANUAL
22.4.6,SP OBRAS,46.01.070,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 75 MM, (2 1/2´), INCLUSIVE CONEXÕES",M,1205.0,109.53999999999999,ITEM,NO_COMP,109.53999999999999,PO_MANUAL
22.4.7,SP OBRAS,46.01.080,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 85 MM, (3´), INCLUSIVE CONEXÕES",M,407.23,127.65,ITEM,NO_COMP,127.65,PO_MANUAL
22.4.8,SP OBRAS,46.01.090,"TUBO DE PVC RÍGIDO SOLDÁVEL MARROM, DN= 110 MM, (4´), INCLUSIVE CONEXÕES",M,307.76,200.83999999999997,ITEM,NO_COMP,200.83999999999997,PO_MANUAL
22.4.9,SP OBRAS,48.02.009,RESERVATÓRIO DE FIBRA DE VIDRO - CAPACIDADE DE 20.000 LITROS,UN,12.0,11526.609999999999,ITEM,NO_COMP,11526.609999999999,PO_MANUAL
22.4.10,SP OBRAS,48.02.207,RESERVATÓRIO EM POLIETILENO COM TAMPA DE ENCAIXAR - CAPACIDADE DE 10.000 LITROS,UN,1.0,5620.62,ITEM,NO_COMP,5620.62,PO_MANUAL
22.5,,,ÁGUA QUENTE,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
22.5.1,CPTM,02.02.02.200.02,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 22 MM - COM CONEXÕES",M,4092.42,38.47,ITEM,NO_COMP,38.47,PO_MANUAL
22.5.2,CPTM,02.02.02.200.03,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 28 MM - COM CONEXÕES",M,1357.98,58.65,ITEM,NO_COMP,58.65,PO_MANUAL
22.5.3,CPTM,02.02.02.200.04,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 35 MM - COM CONEXÕES",M,719.61,76.11000000000001,ITEM,NO_COMP,76.11000000000001,PO_MANUAL
22.5.4,CPTM,02.02.02.200.06,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 54 MM - COM CONEXÕES",M,1537.28,136.85,ITEM,NO_COMP,136.85,PO_MANUAL
22.5.5,CPTM,02.02.02.200.05,"TUBO DE CPVC BEGE CLARO SOLDÁVEL, Ø 42 MM - COM CONEXÕES",M,479.99,94.57,ITEM,NO_COMP,94.57,PO_MANUAL
22.6,,,TUBOS PERFURADOS VALA,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
22.6.1,SINAPI,102705,TUBO PERFURADO CORRUGADO PVC 100MM,M,26.0,62.1,ITEM,OK,62.377038622220006,CALCULATED
22.6.2,SINAPI,102705,TUBO PERFURADO CORRUGADO PVC 100MM,M,810.0,62.1,ITEM,OK,62.377038622220006,CALCULATED
22.7,,,VÁLVULAS E ACESSÓRIOS,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
